156.229.228.0/22,FR,FR-78,Velizy-Villacoublay,78140
37.44.236.0/24,FR,FR-78,Velizy-Villacoublay,78140
213.5.130.0/24,FR,FR-78,Velizy-Villacoublay,78140
37.44.237.0/24,FR,FR-78,Velizy-Villacoublay,78140
37.44.238.0/24,FR,FR-78,Velizy-Villacoublay,78140
37.44.239.0/24,FR,FR-78,Velizy-Villacoublay,78140
79.110.237.0/24,FR,FR-78,Velizy-Villacoublay,78140
91.206.229.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.142.52.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.142.53.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.142.54.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.142.55.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.157.246.0/24,FR,FR-78,Velizy-Villacoublay,78140
185.157.247.0/24,FR,FR-78,Velizy-Villacoublay,78140
193.177.0.0/24,FR,FR-75,Paris,75008
193.177.162.0/24,FR,FR-78,Velizy-Villacoublay,78140
193.177.182.0/24,FR,FR-78,Velizy-Villacoublay,78140
193.178.0.0/24,FR,FR-75,Paris,75008
170.39.216.0/24,FR,FR-78,Velizy-Villacoublay,78140
170.39.217.0/24,FR,FR-78,Velizy-Villacoublay,78140
170.39.218.0/24,FR,FR-78,Velizy-Villacoublay,78140
170.39.219.0/24,FR,FR-78,Velizy-Villacoublay,78140
